x,f1,f2,f3,f4,f5,f6,f7,f8
184,0,0,0.428,0.512,0.42,0.512,0.512,0.7265625
185,0,0,0.428,0.512,0.42,0.512,0.512,0.726367188
186,0,0,0.428,0.512,0.42,0.512,0.512,0.726464844
187,0,0,0.428,0.512,0.42,0.512,0.512,0.726985677
188,0,0,0.428,0.512,0.42,0.512,0.512,0.726464844
189,0,0,0.432,0.512,0.42,0.512,0.512,0.728157552
190,0,0,0.432,0.512,0.42,0.512,0.512,0.725813802
191,0,0,0.432,0.512,0.42,0.512,0.512,0.725651042
192,0,0,0.432,0.512,0.42,0.512,0.512,0.724121094
193,0,0,0.432,0.512,0.42,0.512,0.512,0.726236979
194,0,0,0.432,0.512,0.42,0.512,0.512,0.726595052
195,0,0,0.432,0.512,0.416,0.512,0.512,0.726953125
196,0,0,0.432,0.512,0.416,0.512,0.512,0.727832031
197,0,0,0.432,0.512,0.404,0.512,0.512,0.724804688
198,0,0,0.432,0.512,0.416,0.512,0.512,0.721940104
199,0,0,0.432,0.512,0.42,0.512,0.512,0.720117188
200,0,0,0.432,0.512,0.42,0.512,0.512,0.71796875
201,0,0,0.432,0.512,0.42,0.512,0.512,0.717708333
202,0,0,0.432,0.512,0.42,0.512,0.512,0.715690104
203,0,0,0.432,0.512,0.42,0.512,0.512,0.716601563
204,0,0,0.432,0.512,0.416,0.512,0.512,0.717513021
205,0,0,0.432,0.512,0.416,0.512,0.512,0.718261719
206,0,0,0.432,0.512,0.416,0.512,0.512,0.720572917
207,0,0,0.432,0.512,0.416,0.512,0.512,0.722981771
208,0,0,0.432,0.512,0.416,0.512,0.512,0.726529948
209,0,0,0.428,0.512,0.416,0.512,0.512,0.728255208
210,0,0,0.424,0.512,0.416,0.512,0.512,0.730273438
211,0,0,0.424,0.512,0.416,0.512,0.512,0.73264974
212,0,0,0.424,0.512,0.416,0.512,0.512,0.734472656
213,0,0,0.42,0.512,0.416,0.512,0.512,0.73766276
214,0,0,0.42,0.512,0.416,0.512,0.512,0.738378906
215,0,0,0.42,0.512,0.416,0.512,0.512,0.739713542
216,0,0,0.42,0.512,0.416,0.512,0.512,0.738834635
217,0,0,0.42,0.512,0.416,0.512,0.512,0.737272135
218,0,0,0.424,0.512,0.416,0.512,0.512,0.736914063
219,0,0,0.424,0.512,0.416,0.512,0.512,0.735481771
220,0,0,0.424,0.512,0.416,0.512,0.512,0.733658854
221,0,0,0.424,0.508,0.416,0.508,0.508,0.733398438
222,0,0,0.428,0.508,0.416,0.508,0.508,0.731380208
223,0,0,0.428,0.508,0.416,0.508,0.508,0.728515625
224,0,0,0.428,0.508,0.416,0.508,0.508,0.72594401
225,0,0,0.428,0.508,0.396,0.508,0.508,0.722526042
226,0,0,0.428,0.508,0.416,0.508,0.508,0.722591146
227,0,0,0.428,0.508,0.42,0.508,0.508,0.724446615
228,0,0,0.428,0.508,0.42,0.508,0.508,0.724902344
229,0,0,0.428,0.508,0.42,0.508,0.508,0.723730469
230,0,0,0.428,0.508,0.42,0.508,0.508,0.722786458
231,0,0,0.428,0.508,0.416,0.508,0.508,0.723111979
232,0,0,0.428,0.508,0.416,0.508,0.508,0.723990885
233,0,0,0.428,0.508,0.416,0.508,0.508,0.724023438
234,0,0,0.428,0.508,0.416,0.508,0.508,0.723535156
235,0,0,0.428,0.508,0.416,0.508,0.508,0.723990885
236,0,0,0.432,0.508,0.416,0.508,0.508,0.723860677
237,0,0,0.432,0.508,0.416,0.508,0.508,0.723697917
238,0,0,0.432,0.508,0.416,0.508,0.508,0.724772135
239,0,0,0.432,0.508,0.416,0.508,0.508,0.72421875
240,0,0,0.432,0.508,0.416,0.508,0.508,0.725
241,0,0,0.432,0.508,0.416,0.508,0.508,0.725065104
242,0,0,0.432,0.508,0.416,0.508,0.508,0.724674479
243,0,0,0.432,0.508,0.416,0.508,0.508,0.72578125
244,0,0,0.428,0.508,0.416,0.508,0.508,0.726302083
245,0,0,0.428,0.508,0.416,0.508,0.508,0.724902344
246,0,0,0.432,0.508,0.416,0.508,0.508,0.724772135
247,0,0,0.432,0.508,0.416,0.508,0.508,0.725390625
248,0,0,0.432,0.508,0.416,0.508,0.508,0.725748698
249,0,0,0.432,0.508,0.416,0.508,0.508,0.725878906
250,0,0,0.432,0.508,0.416,0.508,0.508,0.725260417
251,0,0,0.432,0.508,0.416,0.508,0.508,0.725846354
252,0,0,0.432,0.508,0.416,0.508,0.508,0.725520833
253,0,0,0.432,0.508,0.416,0.508,0.508,0.724902344
254,0,0,0.432,0.508,0.416,0.508,0.508,0.725520833
255,0,0,0.432,0.508,0.416,0.508,0.508,0.725032552
256,0,0,0.432,0.508,0.416,0.508,0.508,0.725813802
257,0,0,0.432,0.508,0.404,0.508,0.508,0.726334635
258,0,0,0.432,0.508,0.412,0.508,0.508,0.725683594
259,0,0,0.432,0.508,0.412,0.508,0.508,0.725488281
260,0,0,0.432,0.508,0.412,0.508,0.508,0.725
261,0,0,0.432,0.508,0.412,0.508,0.508,0.725292969
262,0,0,0.432,0.508,0.412,0.508,0.508,0.725553385
263,0,0,0.432,0.508,0.412,0.508,0.508,0.72483724
264,0,0,0.432,0.508,0.412,0.508,0.508,0.725846354
265,0,0,0.432,0.508,0.412,0.508,0.508,0.725553385
266,0,0,0.432,0.508,0.412,0.508,0.508,0.724576823
267,0,0,0.432,0.508,0.412,0.508,0.508,0.725716146
268,0,0,0.432,0.508,0.412,0.508,0.508,0.725488281
269,0,0,0.432,0.508,0.412,0.508,0.508,0.725846354
270,0,0,0.432,0.508,0.412,0.508,0.508,0.725716146
271,0,0,0.428,0.508,0.412,0.508,0.508,0.726204427
272,0,0,0.428,0.508,0.412,0.508,0.508,0.725553385
273,0,0,0.428,0.508,0.412,0.508,0.508,0.725097656
274,0,0,0.428,0.508,0.412,0.508,0.508,0.725455729
275,0,0,0.424,0.508,0.412,0.508,0.508,0.725488281
276,0,0,0.424,0.508,0.412,0.508,0.508,0.72578125
277,0,0,0.424,0.508,0.412,0.508,0.508,0.725130208
278,0,0,0.424,0.508,0.412,0.508,0.508,0.725488281
279,0,0,0.424,0.508,0.412,0.508,0.508,0.726302083
280,0,0,0.424,0.504,0.412,0.504,0.504,0.725911458
281,0,0,0.424,0.504,0.412,0.504,0.504,0.725065104
282,0,0,0.424,0.504,0.412,0.504,0.504,0.725260417
283,0,0,0.424,0.504,0.412,0.504,0.504,0.72578125
284,0,0,0.424,0.504,0.412,0.504,0.504,0.72639974
285,0,0,0.424,0.504,0.412,0.504,0.504,0.726269531
286,0,0,0.424,0.504,0.412,0.504,0.504,0.727636719
287,0,0,0.424,0.504,0.412,0.504,0.504,0.725325521
288,0,0,0.424,0.504,0.412,0.504,0.504,0.721484375
289,0,0,0.424,0.504,0.412,0.504,0.504,0.721061198
290,0,0,0.424,0.504,0.412,0.504,0.504,0.721386719
291,0,0,0.424,0.504,0.412,0.504,0.504,0.723372396
292,0,0,0.424,0.504,0.42,0.504,0.504,0.723339844
293,0,0,0.424,0.504,0.404,0.504,0.504,0.724934896
294,0,0,0.424,0.504,0.412,0.504,0.504,0.724348958
295,0,0,0.428,0.504,0.412,0.504,0.504,0.72421875
296,0,0,0.424,0.504,0.42,0.504,0.504,0.723958333
297,0,0,0.424,0.504,0.42,0.504,0.504,0.722721354
298,0,0,0.424,0.504,0.42,0.504,0.504,0.723014323
299,0,0,0.428,0.504,0.42,0.504,0.504,0.72421875
300,0,0,0.424,0.504,0.42,0.504,0.504,0.724739583
301,0,0,0.424,0.504,0.42,0.504,0.504,0.72327474
302,0,0,0.424,0.504,0.42,0.504,0.504,0.722102865
303,0,0,0.424,0.504,0.42,0.504,0.504,0.723111979
304,0,0,0.424,0.504,0.42,0.504,0.504,0.723795573
305,0,0,0.428,0.504,0.42,0.504,0.504,0.723893229
306,0,0,0.428,0.504,0.42,0.504,0.504,0.722623698
307,0,0,0.428,0.504,0.42,0.504,0.504,0.723828125
308,0,0,0.428,0.504,0.42,0.504,0.504,0.723177083
309,0,0,0.428,0.504,0.42,0.504,0.504,0.724088542
310,0,0,0.428,0.504,0.42,0.504,0.504,0.724707031
311,0,0,0.428,0.504,0.42,0.504,0.504,0.723730469
312,0,0,0.428,0.504,0.42,0.504,0.504,0.723795573
313,0,0,0.428,0.504,0.42,0.504,0.504,0.724609375
314,0,0,0.428,0.504,0.42,0.504,0.504,0.725227865
315,0,0,0.428,0.504,0.42,0.504,0.504,0.724804688
316,0,0,0.428,0.504,0.42,0.504,0.504,0.724576823
317,0,0,0.428,0.504,0.42,0.504,0.504,0.725651042
318,0,0,0.428,0.504,0.42,0.504,0.504,0.725358073
319,0,0,0.428,0.504,0.42,0.504,0.504,0.725390625
320,0,0,0.428,0.504,0.42,0.504,0.504,0.725585938
321,0,0,0.428,0.504,0.42,0.504,0.504,0.725585938
322,0,0,0.428,0.504,0.42,0.504,0.504,0.726236979
323,0,0,0.432,0.504,0.42,0.504,0.504,0.726106771
324,0,0,0.432,0.504,0.42,0.504,0.504,0.725488281
325,0,0,0.432,0.504,0.42,0.504,0.504,0.725488281
326,0,0,0.432,0.504,0.42,0.504,0.504,0.726790365
327,0,0,0.432,0.504,0.42,0.504,0.504,0.726529948
328,0,0,0.432,0.504,0.42,0.504,0.504,0.726692708
329,0,0,0.424,0.504,0.42,0.504,0.504,0.726432292
330,0,0,0.42,0.504,0.42,0.504,0.504,0.726171875
331,0,0,0.424,0.504,0.42,0.504,0.504,0.725976563
332,0,0,0.424,0.504,0.42,0.504,0.504,0.72672526
333,0,0,0.424,0.504,0.416,0.504,0.504,0.726302083
334,0,0,0.424,0.504,0.416,0.504,0.504,0.726334635
335,0,0,0.424,0.504,0.412,0.504,0.504,0.726106771
336,0,0,0.424,0.504,0.412,0.504,0.504,0.726204427
337,0,0,0.428,0.504,0.408,0.504,0.504,0.726595052
338,0,0,0.428,0.504,0.412,0.504,0.504,0.726757813
339,0,0,0.428,0.504,0.412,0.504,0.504,0.726595052
340,0,0,0.428,0.504,0.412,0.504,0.504,0.726497396
341,0,0,0.428,0.504,0.412,0.504,0.504,0.726888021
342,0,0,0.428,0.504,0.412,0.504,0.504,0.72639974
343,0,0,0.428,0.504,0.412,0.504,0.504,0.726367188
344,0,0,0.428,0.5,0.412,0.5,0.5,0.726009115
345,0,0,0.428,0.5,0.412,0.5,0.5,0.7265625
346,0,0,0.428,0.5,0.412,0.5,0.5,0.726367188
347,0,0,0.424,0.5,0.412,0.5,0.5,0.726269531
348,0,0,0.42,0.5,0.412,0.5,0.5,0.726074219
349,0,0,0.42,0.5,0.412,0.5,0.5,0.726497396
350,0,0,0.424,0.5,0.412,0.5,0.5,0.72561849
351,0,0,0.424,0.5,0.412,0.5,0.5,0.724544271
352,0,0,0.42,0.5,0.412,0.5,0.5,0.722558594
353,0,0,0.42,0.5,0.412,0.5,0.5,0.722460938
