x,f1,f2,f3,f4,f5,f6,f7,f8
971,0,0,0.428,0.552,0.424,0.552,0.552,0.389160156
972,0,0,0.432,0.548,0.4,0.548,0.548,0.394173177
973,0,0,0.432,0.544,0.404,0.544,0.544,0.414941406
974,0,0,0.436,0.54,0.408,0.54,0.54,0.41188151
975,0,0,0.436,0.54,0.412,0.54,0.54,0.407779948
976,0,0,0.436,0.536,0.412,0.536,0.536,0.403515625
977,0,0,0.436,0.532,0.412,0.532,0.532,0.40094401
978,0,0,0.436,0.528,0.412,0.528,0.528,0.397298177
979,0,0,0.436,0.528,0.408,0.528,0.528,0.398763021
980,0,0,0.436,0.524,0.408,0.524,0.524,0.406640625
981,0,0,0.436,0.52,0.408,0.52,0.52,0.416927083
982,0,0,0.432,0.52,0.408,0.52,0.52,0.426920573
983,0,0,0.432,0.516,0.408,0.516,0.516,0.434733073
984,0,0,0.432,0.512,0.408,0.512,0.512,0.447753906
985,0,0,0.428,0.508,0.404,0.508,0.508,0.453645833
986,0,0,0.428,0.504,0.404,0.504,0.504,0.459407552
987,0,0,0.428,0.5,0.404,0.5,0.5,0.4734375
988,1,0,0.424,0.5,0.4,0.5,0.5,0.494401042
989,1,0,0.42,0.5,0.4,0.5,0.5,0.515755208
990,1,0,0.416,0.5,0.4,0.5,0.5,0.537532552
991,1,0,0.416,0.504,0.4,0.504,0.504,0.556803385
992,1,0,0.42,0.508,0.388,0.508,0.508,0.559472656
993,1,0,0.42,0.516,0.424,0.516,0.516,0.568359375
994,1,0,0.424,0.52,0.408,0.52,0.52,0.582519531
995,1,0,0.424,0.524,0.42,0.524,0.524,0.590885417
996,1,0,0.428,0.528,0.416,0.528,0.528,0.605175781
997,1,0,0.428,0.532,0.408,0.532,0.532,0.612630208
998,1,0,0.432,0.54,0.42,0.54,0.54,0.605045573
