x-r,y-r,x-s,y-s
-1.275047303,-0.094491831,-1.165156148,-0.007423109
-1.293085287,-0.113361457,-1.165156148,-0.007423109
0.521018102,0.920286305,-3.475645017,-0.010352424
1.439253097,2.994199909,0.574176288,-0.460233755
3.939220462,-0.002024127,3.943233567,-0.004597196
-1.540647147,-0.117994403,-2.822767842,0.237832518
-1.307019577,-0.044202314,-1.06058425,0.046794342
0.474172204,-0.281121699,-2.186028065,0.021903084
-1.293576702,-0.024895005,-1.105272584,0.045835527
-1.306436546,-0.020745439,-1.105272584,0.045835527
-2.453992311,0.32171745,-3.469291228,-0.012651923
2.549900673,1.617908867,3.943233567,-0.004597196
3.873253192,0.089423275,3.943233567,-0.004597196
-1.960655741,-0.014033881,-2.543779494,-0.10138555
-1.348190692,0.042655174,-0.680177847,0.010432513
-0.458662496,-0.507652086,-2.86541175,-0.382004252
-1.318236243,0.043009925,-0.730543889,0.010016412
-1.326967302,0.053203583,-0.730543889,0.010016412
-0.248092369,0.013296732,-3.303236794,-0.01788576
3.943233567,-0.004597196,-1.718349911,2.697728976
3.858695076,-0.080237375,2.562953348,0.963142396
-1.757995845,-0.103819059,-2.804029073,-0.521908871
-1.461046907,-0.016711091,-3.0459899,-0.738622792
-1.431234649,-0.18744152,-2.62719127,0.075337525
-1.403159992,-0.020261331,-3.061045314,-0.727858964
-1.401191928,-0.02379344,-3.061045314,-0.727858964
0.39299969,-0.18454021,0.0173817,0.754012552
2.563955557,1.813188524,3.943233567,-0.004597196
3.874169696,0.080493246,3.943233567,-0.004597196
-1.971526019,0.017048894,-2.530426331,-0.107360714
-1.338365342,0.087750011,-0.67080312,-0.002198396
-0.568399002,-0.484034491,-2.869396305,-0.270058699
-1.309113669,0.090547892,-0.721309083,-0.002425976
-1.318683088,0.101720534,-0.721309083,-0.002425976
-0.241279596,0.018116156,-3.303855912,-0.022096299
3.943233567,-0.004597195,2.425937349,1.283633788
3.942503476,-0.004520786,3.714651437,0.25553195
-1.930122342,0.053741801,-2.960173827,-0.055630128
-1.121399247,0.033327356,-1.509818676,-0.055276632
-0.985476709,0.199637302,-2.590717465,0.143035683
-1.100787445,0.035112559,-1.547802019,-0.054712
-1.099624149,0.036150296,-1.547802019,-0.054712
0.02312942,-0.1177723,1.571149463,-1.298969619
2.739174716,-1.369669211,-0.316379687,3.667403905
3.446217671,-0.586793678,2.716952037,0.9305879
-1.682503171,0.005982106,-3.007150274,-0.408858622
-1.434676196,0.093737381,-3.359857185,-0.325258073
-1.453557574,0.126652093,-2.46534043,0.053630117
-1.380942451,0.081813532,-3.370228013,-0.320663867
-1.383234,0.0765009,-3.370228013,-0.320663867
0.818494667,0.525984835,0.387461603,0.26034821
1.885051497,-1.343546879,3.214943363,0.797984757
3.432557533,-0.627715132,3.943233567,-0.004597196
-1.806412706,0.079146176,-3.179835241,0.093306714
-1.406505911,0.162066431,-2.09246625,0.076844313
-1.239387753,0.558628056,-3.075451495,0.03248094
-1.366447427,0.159183731,-2.12175336,0.075436991
-1.380730172,0.141485769,-2.12175336,0.075436991
0.509834774,-0.001235636,-3.12119393,-0.026492541
3.943233567,-0.004597195,2.425812126,1.170549154
3.942236546,-0.004322329,3.714620932,0.239686253
-1.937656589,0.048958733,-2.959972395,-0.044674324
-1.131111449,0.04185363,-1.520825404,-0.058105673
-0.989888594,0.173342358,-2.590838485,0.130800261
-1.110119375,0.04261429,-1.558644467,-0.057498816
-1.108354054,0.044904569,-1.558644467,-0.057498816
0.038282419,-0.115580619,1.633978216,-1.236689031
2.308295155,-1.918584084,3.943233567,-0.004597196
3.656462172,-0.306982584,3.943233567,-0.004597196
-2.00274048,-0.041562923,-2.737740861,0.146755155
-1.37193384,-0.100810719,-0.935908974,0.027050591
-1.083318058,0.297387808,-2.781966641,-0.206329315
-1.339458573,-0.106590415,-0.982458134,0.026386459
-1.348335895,-0.113702956,-0.982458134,0.026386459
0.399342761,0.335704132,-3.337039159,0.037600968
2.380840019,-0.712795568,3.943233567,-0.004597196
3.831241022,-0.141777377,3.943233567,-0.004597196
-2.053535759,0.106545768,-2.664476927,0.069798025
-1.349780388,0.16672847,-0.870522185,0.026731591
-1.204033963,-0.511097687,-2.929144084,0.150477927
-1.318996236,0.168209847,-0.918047267,0.02607222
-1.315948741,0.163714492,-0.918047267,0.02607222
0.484463451,-0.117642932,-3.31761501,-0.03218533
3.943233541,-0.00459722,0.197705653,0.359399237
3.941540935,-0.005437145,3.943233567,-0.004597196
-1.860543593,0.069845572,-2.66475519,-0.383360183
-0.932186478,0.121160559,-1.047739831,-0.061936075
-0.574084455,0.382084349,-2.829622849,-0.078703217
-0.924646057,0.114401849,-1.092619873,-0.061272048
-0.925776458,0.114569442,-1.092619873,-0.061272048
-0.668803843,-0.603440045,-3.016471647,-0.555319448
1.788715165,1.530150477,-1.739619144,1.25169227
3.470462363,0.292607269,2.706430395,-0.794919843
-1.709485473,-0.019820457,-2.691883159,0.089345656
-1.651266484,-0.026313369,-1.814383855,-0.721429377
-0.510348878,0.472904329,-2.685484766,0.054198316
-1.599338976,-0.022118168,-1.847821449,-0.710922166
-1.611118609,-0.013375728,-1.847821449,-0.710922166
0.550228625,-0.00203811,-2.184897849,1.300134623
2.135123748,-0.722094882,0.831385904,-0.799339334
3.413129363,-0.596294152,3.943233567,-0.004597196
-1.826825294,0.170305464,-2.328042795,-0.294852287
-1.321120101,0.158991072,-1.048868649,-0.005004081
-0.716409563,0.026549635,-1.94433415,-0.155057221
-1.285613073,0.175566335,-1.093731844,-0.005189785
-1.302555434,0.157655241,-1.093731844,-0.005189785
-0.051150357,-0.022950553,-3.47146387,-0.020302568
2.08202602,2.361955625,1.930501791,-1.00294459
3.768004437,0.195767766,3.943233567,-0.004597196
-1.862452623,0.005441166,-2.240035674,-0.243901942
-1.254190756,0.076079852,-1.277429485,0.133195214
-0.847418294,0.200503218,-1.984250284,-0.078607117
-1.235308462,0.091894328,-1.318881324,0.130946833
-1.241286986,0.09112065,-1.318881324,0.130946833
0.252593815,-0.768516049,-3.470617314,-0.026353193
1.128939364,-0.162572042,0.34067542,-0.195622087
3.939311896,-0.007550794,3.943233567,-0.004597196
-1.607880318,-6.67E-05,-3.033873959,0.107525969
-1.030236728,-0.611743233,-1.061780439,0.0497859
0.265202302,0.222379349,-2.311088233,0.200058721
-1.029727553,-0.589898597,-1.106450919,0.048782435
-1.037695022,-0.595468922,-1.106450919,0.048782435
-2.451217531,-0.017394815,-3.473770917,-0.012971157
3.943233541,-0.004597191,-0.68549885,-1.488238989
3.940781161,-0.004394992,3.943233567,-0.004597196
-1.766500556,-0.17265369,-2.951676053,-0.244650653
-0.799017297,0.239451938,-1.601268832,-0.526883363
-0.019821576,-0.262643088,-2.73567924,-0.331910777
-0.796371753,0.221314589,-1.637887247,-0.519279824
-0.792802619,0.232060168,-1.637887247,-0.519279824
-1.757605191,0.088902452,-3.290588762,0.029216209
1.859571281,-0.837194541,-1.257901569,1.638884073
3.734694808,-0.089987986,1.758278055,1.380242234
-1.905499816,-0.05650233,-2.340982445,0.22853355
-1.249911086,-0.044426073,-1.776789188,0.64643719
-1.332950362,-0.32682057,-2.733700879,0.162102138
